Census 2000 PHC-T-33.  Earnings Distribution of U.S.Year-Round Full-Time Workers by Occupation and Sex: 1999,,,,
TABLE 1:  Earnings Distribution of All U.S.Year-Round Full-Time Workers by Occupation and Sex: 1999,,,,
"Source:  U.S. Census Bureau, Census 2000",,,,
"(Data based on a sample. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/prod/cen2000/docs/sf3.pdf.)",,,,
Occupation,SOC Codes,Number of YRFT workers,Female,Male
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,"8,790","2,710","6,090"
"Electrical, electronics, and electromechanical assemblers",51-2020,"182,350","108,700","73,650"
Engine and other machine assemblers,51-2031,"21,690","4,490","17,190"
Structural metal fabricators and fitters,51-2041,"22,600",980,"21,620"
Miscellaneous assemblers and fabricators,51-2090,"795,820","326,300","469,510"
Bakers,51-3011,"91,090","39,210","51,880"
"Butchers and other meat, poultry, and fish processing workers",51-3020,"180,200","34,960","145,240"
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,"5,850","1,480","4,370"
Food batchmakers,51-3092,"43,690","21,600","22,090"
Food cooking machine operators and tenders,51-3093,"4,140","1,480","2,670"
Computer control programmers and operators,51-4010,"35,630","4,000","31,640"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,"13,810","2,120","11,690"
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,"10,760",630,"10,130"
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,"12,000","3,100","8,900"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,"100,100","26,330","73,770"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,"7,400","1,530","5,880"
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,"59,210","7,080","52,130"
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,"14,630","1,670","12,970"
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,"2,460",410,"2,050"
Machinists,51-4041,"396,110","18,390","377,730"
Metal furnace and kiln operators and tenders,51-4050,"27,570","1,910","25,660"
"Model makers and patternmakers, metal and plastic",51-4060,"12,060","1,480","10,590"
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,"70,860","14,050","56,810"
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,"6,080","1,610","4,470"
Tool and die makers,51-4111,"103,800","2,970","100,830"
"Welding, soldering, and brazing workers",51-4120,"441,080","30,400","410,680"
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,"9,590",770,"8,820"
"Lay-out workers, metal and plastic",51-4192,"7,710",800,"6,910"
"Plating and coating machine setters, operators, and tenders, metal and plastic",51-4193,"18,010","2,230","15,780"
"Tool grinders, filers, and sharpeners",51-4194,"10,130",540,"9,590"
"Metalworkers and plastic workers, all other",51-4199,"430,940","115,570","315,380"
Bookbinders and bindery workers,51-5010,"32,910","15,290","17,620"
Job printers,51-5021,"64,210","12,330","51,880"
Prepress technicians and workers,51-5022,"53,230","22,660","30,570"
Printing machine operators,51-5023,"155,980","23,150","132,820"
Laundry and dry-cleaning workers,51-6011,"108,230","59,690","48,540"
"Pressers, textile, garment, and related materials",51-6021,"44,870","27,030","17,840"
Sewing machine operators,51-6031,"250,690","193,360","57,330"
Shoe and leather workers and repairers,51-6041,"10,900","2,560","8,340"
Shoe machine operators and tenders,51-6042,"5,990","3,550","2,440"
"Tailors, dressmakers, and sewers",51-6050,"52,600","37,060","15,550"
Textile bleaching and dyeing machine operators and tenders,51-6061,"6,570","1,230","5,340"
"Textile cutting machine setters, operators, and tenders",51-6062,"10,160","4,140","6,020"
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,"23,610","14,310","9,300"
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,"26,700","16,920","9,790"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,"1,090",290,800
Fabric and apparel patternmakers,51-6092,"3,720","2,780",940
Upholsterers,51-6093,"39,340","7,810","31,530"
"Textile, apparel, and furnishings workers, all other",51-6099,"28,390","13,810","14,580"
Cabinetmakers and bench carpenters,51-7011,"59,600","3,710","55,890"
Furniture finishers,51-7021,"17,960","3,560","14,400"
"Model makers and patternmakers, wood",51-7030,940,120,820
"Sawing machine setters, operators, and tenders, wood",51-7041,"42,720","5,400","37,320"
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,"30,980","7,690","23,290"
"Woodworkers, all other",51-7099,"23,510","2,110","21,400"
"Power plant operators, distributors, and dispatchers",51-8010,"37,660","2,750","34,910"
Stationary engineers and boiler operators,51-8021,"82,740","2,360","80,380"
Water and liquid waste treatment plant and system operators,51-8031,"63,120","3,340","59,780"
Miscellaneous plant and system operators,51-8090,"35,340","2,390","32,960"
"Chemical processing machine setters, operators, and tenders",51-9010,"54,930","6,490","48,440"
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,"79,140","9,860","69,280"
Cutting workers,51-9030,"66,390","14,770","51,610"
"Extruding, forming, pressing, and compacting machine setters, operators, and  tenders",51-9041,"32,790","7,030","25,770"
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,"16,570","4,850","11,720"
"Inspectors, testers, sorters, samplers, and weighers",51-9061,"637,750","267,130","370,620"
Jewelers and precious stone and metal workers,51-9071,"29,040","7,610","21,430"
"Medical, dental, and ophthalmic laboratory technicians",51-9080,"63,030","26,770","36,260"
Packaging and filling machine operators and tenders,51-9111,"162,710","91,990","70,720"
Painting workers,51-9120,"122,820","17,420","105,390"
Photographic process workers and processing machine operators,51-9130,"45,620","23,140","22,480"
Semiconductor processors,51-9141,"4,920","2,110","2,810"
Cementing and gluing machine operators and tenders,51-9191,"12,720","5,430","7,280"
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,"9,500","2,630","6,870"
Cooling and freezing equipment operators and tenders,51-9193,"2,540",270,"2,270"
Etchers and engravers,51-9194,"9,750","3,380","6,370"
"Molders, shapers, and casters, except metal and plastic",51-9195,"23,240","3,450","19,790"
"Paper goods machine setters, operators, and tenders",51-9196,"32,700","6,930","25,770"
Tire builders,51-9197,"18,670","1,210","17,460"
"Helpers, production workers",51-9198,"23,460","4,800","18,660"
"Production workers, all other",51-9199,"889,550","273,750","615,790"
"Supervisors, transportation and material moving workers",53-1000,"193,010","33,540","159,470"
Aircraft pilots and flight engineers,53-2010,"82,230","2,870","79,360"
Air traffic controllers and airfield operations specialists,53-2020,"31,860","5,420","26,440"
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,"3,280",850,"2,430"
Bus drivers,53-3020,"186,740","64,610","122,130"
Driver/sales workers and truck drivers,53-3030,"2,130,980","89,580","2,041,390"
Taxi drivers and chauffeurs,53-3041,"112,180","12,180","99,990"
"Motor vehicle operators, all other",53-3099,"7,010",750,"6,260"
Locomotive engineers and operators,53-4010,"41,940","1,580","40,350"
"Railroad brake, signal, and switch operators",53-4021,"7,840",210,"7,630"
Railroad conductors and yardmasters,53-4031,"39,090","1,990","37,100"
"Subway, streetcar, and other rail transportation workers",53-4041 & 53-4099,"7,970",700,"7,270"
Sailors and marine oilers,53-5011,"9,650",500,"9,150"
Ship and boat captains and operators,53-5020,"17,650",500,"17,150"
Ship engineers,53-5031,"3,380",70,"3,310"
Bridge and lock tenders,53-6011,"3,740",480,"3,260"
Parking lot attendants,53-6021,"22,540","2,900","19,640"
Service station attendants,53-6031,"46,300","9,710","36,590"
Transportation inspectors,53-6051,"32,580","4,590","27,990"
Other transportation workers,53-6041 & 53-6099,"10,390","1,350","9,040"
Conveyor operators and tenders,53-7011,"3,910",620,"3,290"
Crane and Tower Operators,53-7021,"55,450","1,650","53,790"
"Dredge, excavating, and loading machine operators",53-7030,"38,970",610,"38,360"
Hoist and winch operators,53-7041,"5,830",310,"5,520"
Industrial truck and tractor operators,53-7051,"350,490","28,330","322,160"
Cleaners of vehicles and equipment,53-7061,"144,590","23,630","120,960"
"Laborers and freight, stock, and material movers, hand",53-7062,"952,880","161,830","791,050"
Machine feeders and offbearers,53-7063,"31,690","11,520","20,170"
"Packers and packagers, hand",53-7064,"177,890","107,980","69,910"
Pumping station operators,53-7070,"14,830",540,"14,300"
Refuse and recyclable material collectors,53-7081,"50,590","3,510","47,080"
Shuttle car operators,53-7111,"1,470",150,"1,320"
"Tank car, truck, and ship loaders",53-7121,"3,610",170,"3,440"
"Material moving workers, all other",53-7199,"39,430","6,020","33,400"
